unctad_case_id,case_name,short_case_name,year_of_initiation,italaw_link,applicable_iia,respondent_state,investor_nationality,investment_summary,economic_sector,arbitral_rules,administering_institution,case_status,decisions,amount_claimed_usd,amount_awarded_usd,breaches_alleged,breaches_found,follow_on_proceedings,fetch_status
311,Participaciones v. Gabon,Participaciones v. Gabon,2008.0,http://www.italaw.com/cases/814,BLEU (Belgium-Luxembourg Economic Union) - Gabon BIT (1998),Gabon,Luxembourg,"Details of investment Purchase of Gabonese company that had a port concession from the Government to manage two Gabonese seaports. Summary of the dispute Claims arising out of the Government's termination of a concession to manage the Owendo and Port-Gentil seaports in Gabon, and the subsequent sale of assets of the Gabonese company holding such concession in which the claimant had invested.",Economic sector | Tertiary: H - Transportation and storage | Economic subsector | 52 - Warehousing and support activities for transportation,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Discontinued,"Order taking note of the discontinuance of the proceeding issued by the Tribunal dated 10 January 2011, pursuant to ICSID Administrative and Financial Regulation 14(3)(d)",Data not available,Data not available,Indirect expropriation,Not applicable - settled or discontinued before decision on liability,Type of follow-on proceedings None,success
312,Alapli v. Turkey,Alapli v. Turkey,2008.0,http://www.italaw.com/cases/1708,Netherlands - Turkey BIT (1986) The Energy Charter Treaty (1994),Türkiye,Netherlands,"Details of investment Rights under a concession agreement for electricity generation concluded between a Turkish Ministry and a company that later assigned its rights to another company in which the claimant had acquired shares. Summary of the dispute Claims arising out of a concession to develop, finance, construct, own, operate and transfer a combined cycle power plant in Turkey and a number of legislative changes in 2000 concerning infrastructure projects in Turkey.","Economic sector | Tertiary: D - Electricity, gas, steam and air conditioning supply | Economic subsector | 35 - Electricity, gas, steam and air conditioning supply",ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Decided in favour of State,Award dated 16 July 2012 Dissenting Opinion of Marc Lalonde (Award),100.00 mln USD,Data not available,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similarUmbrella clause",None - jurisdiction declined,"Type of follow-on proceedings ICSID annulment proceedings ICSID annulment proceedings Status Award/decision upheld Decisions Decision on Annulment dated 10 July 2014 ICSID Annulment Committee Hanotiau, B. (President) Böckstiegel, K.-H. (Member) Khan, M. A. (Member)",success
313,GEA v. Ukraine,GEA v. Ukraine,2008.0,http://www.italaw.com/cases/478,Germany - Ukraine BIT (1993),Ukraine,Germany,"Details of investment Capital loans to OJSC Oriana, a former Ukrainian State-owned petrochemicals plant. Summary of the dispute Claims arising out of the alleged misappropriation of diesel and raw materials by a State-owned petrochemical company which were supplied by the investor, and the investor's subsequent failure to collect an ICC award in its favour against such company in Ukrainian courts.",Economic sector | Secondary: C - Manufacturing | Economic subsector | 19 - Manufacture of coke and refined petroleum products,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Decided in favour of State,Award dated 31 March 2011,30.60 mln USD,Data not available,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similarUmbrella clauseNational treatmentMost-favoured nation treatmentArbitrary, unreasonable and/or discriminatory measures",None - all claims dismissed at the merits stage,Type of follow-on proceedings None,success
314,Itera v. Georgia (I),Itera v. Georgia (I),2008.0,http://www.italaw.com/cases/584,Georgia - United States BIT (1994) Georgia - Netherlands BIT (1998),Georgia,NetherlandsUnited States of America,"Details of investment Rights under a Debt Restructuring Agreement concluded between Georgia and the claimants concerning debts to Itera of various Georgian public sector organizations and state-owned companies related to gas supply services. Summary of the dispute Claims arising out of the alleged restructuring of significant gas debts owed by Georgian state-owned entities to Itera and actions subsequently taken by Georgia that rendered the claimants’ investments valueless, including the bankruptcy proceedings of a chemical fertilizer plant in the city of Rustavi in which Itera had acquired a majority shareholding.","Economic sector | Tertiary: D - Electricity, gas, steam and air conditioning supply | Economic subsector | 35 - Electricity, gas, steam and air conditioning supply",ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Discontinued,"Decision on the Admissibility of Ancillary Claims dated 4 December 2009 Dissenting Opinion of Professor Francisco Orrego Vicuña (Decision on the Admissibility of Ancillary Claims) Order taking note of the discontinuance of the proceeding issued by the Tribunal dated 19 November 2010, pursuant to ICSID Arbitration Rule 43(1)",46.40 mln USD,Data not available,Unclear,Not applicable - settled or discontinued before decision on liability,Type of follow-on proceedings None,success
315,TRACO v. Poland,TRACO v. Poland,2008.0,http://www.italaw.com/cases/2408,Germany - Poland BIT (1989),Poland,Germany,Details of investment Data not available Summary of the dispute Claims arising out of the alleged expropriation and discriminatory treatment to claimant's investment in the privatized company Przedsiębiorstwo Kamienia Budowlanego engaged in the Polish stone industry in Radków.,Economic sector | Primary: B - Mining and quarrying | Economic subsector | 8 - Other mining and quarrying,UNCITRAL,PCA (Permanent Court of Arbitration),Decided in favour of State,First Partial Award on Jurisdiction and Liability dated 5 September 2012 Final Award on Costs dated January 2013,8.20 mln EUR (10.50 mln USD),Data not available,"Direct expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsArbitrary, unreasonable and/or discriminatory measures",None - all claims dismissed at the merits stage,Type of follow-on proceedings Data not available,success
316,InterTrade v. Czech Republic,InterTrade v. Czech Republic,2008.0,http://www.italaw.com/cases/1898,Czech Republic - Germany BIT (1990),Czechia,Germany,Details of investment Shareholding in the Czech forestry company CE Wood. Summary of the dispute Claims arising out of the Government's alleged misconduct concerning a failed 2005 tender for the privatization of the State's forests.,"Economic sector | Primary: A - Agriculture, forestry and fishing | Economic subsector | 2 - Forestry and logging",UNCITRAL,PCA (Permanent Court of Arbitration),Decided in favour of State,Final Award dated 7 June 2012 Dissenting Opinion of Mr. Henri Álvarez (Award),84.42 mln EUR (105.50 mln USD),Data not available,"Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsArbitrary, unreasonable and/or discriminatory measuresNational treatmentFull protection and security, or similarIndirect expropriation",None - all claims dismissed at the merits stage,Type of follow-on proceedings None,success
317,Perenco v. Ecuador,Perenco v. Ecuador,2008.0,http://www.italaw.com/cases/819,Ecuador - France BIT (1994),Ecuador,Bahamas,"Details of investment Sole operator and majority shareholder of rights in two oil blocks under two production sharing contracts concluded between Ecuador's oil company Petroecuador and several foreign investors; rights under joint operating agreements concluded with other entities holding interests in such blocks; contributions in personnel, equipment, technology, goods and services. Summary of the dispute Claims arising out of Ecuador's enactment of Law No. 42 imposing a 99 per cent windfall levy on foreign oil revenues that allegedly resulted in the expropriation of Perenco's investment in Blocks 7 and 21 situated in the Ecuadorian Amazon region; particularly by depriving Perenco of its contractual right to an agreed participation percentage of the crude oil produced in the Blocks.",Economic sector | Primary: B - Mining and quarrying | Economic subsector | 6 - Extraction of crude petroleum and natural gas,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Decided in favour of investor,Decision on Jurisdiction dated 30 June 2011 Decision on Remaining Issues of Jurisdiction and on Liability dated 12 September 2014 Interim Decision on the Environmental Counterclaim dated 11 August 2015 Award dated 27 September 2019,1423.00 mln USD,416.50 mln USD,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsOther","Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Type of follow-on proceedings ICSID annulment proceedings ICSID annulment proceedings Status Award/decision partially annulled Decisions Decision on Annulment dated 4 May 2021 ICSID Annulment Committee Zuleta, E. (President) Pinto, M. (Member) Knieper, R. (Member)",success
318,HICEE v. Slovakia,HICEE v. Slovakia,2008.0,http://www.italaw.com/cases/534,Netherlands - Slovakia BIT (1991),Slovakia,Netherlands,"Details of investment Shareholding in two Slovakian health insurance companies, which were subsidiaries of another Slovakian entity in turn wholly owned by the claimant. Summary of the dispute Claims arising out of the Government's adoption of a number of changes and amendments to the laws on health insurance since 2007, including an Act by which health insurance companies were prohibited from distributing profits and made subject to a cap on their permissible administrative expenses.","Economic sector | Tertiary: K - Financial and insurance activities | Economic subsector | 65 - Insurance, reinsurance and pension funding, except compulsory social security",UNCITRAL,PCA (Permanent Court of Arbitration),Decided in favour of State,Partial Award dated 23 May 2011 Dissenting Opinion of Judge Charles N. Brower (Partial Award) Supplementary and Final Award dated 17 October 2011,1000.00 mln EUR (1388.00 mln USD),Data not available,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similarTransfer of fundsArbitrary, unreasonable and/or discriminatory measures",None - jurisdiction declined,Type of follow-on proceedings None,success
319,Ambiente Ufficio and others v. Argentina,Ambiente Ufficio and others v. Argentina,2008.0,http://www.italaw.com/cases/1750,Argentina - Italy BIT (1990),Argentina,Italy,"Details of investment Ownership of sovereign bonds issued by Argentina held by over 90 claimants. Summary of the dispute Claims arising out of Argentina's enactment of legislation concerning the restructuring of its public debt, leading to the Government's default in sovereign bonds in late 2001, and circumstances surrounding its 2005 settlement with foreign holders of its defaulted bonds.","Economic sector | Tertiary: K - Financial and insurance activities | Economic subsector | 64 - Financial service activities, except insurance and pension funding",ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Discontinued,Decision on Jurisdiction and Admissibility dated 8 February 2013 Dissenting Opinion of Santiago Torres Bernárdez (Decision on Jurisdiction and Admissibility) Order of discontinuance of the proceeding dated 28 May 2015 Individual Statement,6.80 mln EUR (10.70 mln USD),Data not available,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similar",Not applicable - settled or discontinued before decision on liability,Type of follow-on proceedings None,success
320,Austrian Airlines v. Slovakia,Austrian Airlines v. Slovakia,2008.0,http://www.italaw.com/cases/103,Austria - Slovakia BIT (1990),Slovakia,Austria,Details of investment Majority shareholding in a Slovakian airline. Summary of the dispute Claims arising out of the alleged Government's liability for debts of a Slovakian airline in which the claimant had invested and that ceased to operate amidst financial problems.,Economic sector | Tertiary: H - Transportation and storage | Economic subsector | 51 - Air transport,UNCITRAL,None (no administering institution),Decided in favour of State,Final Award dated 9 October 2009 Separate Opinion of Charles N. Brower (Final Award),Data not available,Data not available,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similarUmbrella clause",None - jurisdiction declined,Type of follow-on proceedings None,success
321,Malicorp v. Egypt,Malicorp v. Egypt,2008.0,http://www.italaw.com/cases/660,Egypt - United Kingdom BIT (1975),Egypt,United Kingdom,Details of investment Rights under a contract concluded with the Government for the construction and operation of an international airport. Summary of the dispute Claims arising out of the Government's rescission of a contract for the construction and operation of the Ras Sudr international airport in Sinai.,Economic sector | Tertiary: F - Construction | Tertiary: H - Transportation and storage | Tertiary: H - Transportation and storage | Economic subsector | 41 - Construction of buildings | 51 - Air transport | 52 - Warehousing and support activities for transportation,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Decided in favour of State,Award dated 7 February 2011,Data not available,Data not available,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claims",None - all claims dismissed at the merits stage,"Type of follow-on proceedings ICSID annulment proceedings ICSID annulment proceedings Status Award/decision upheld Decisions Decision on the Application for Annulment of Malicorp Limited dated 3 July 2013 ICSID Annulment Committee Rigo Sureda, A. (President) Alexandrov, S. A. (Member) Silva Romero, E. (Member)",success
322,Mercuria Energy v. Poland (I),Mercuria Energy v. Poland (I),2008.0,http://www.italaw.com/cases/665,The Energy Charter Treaty (1994),Poland,Cyprus,"Details of investment Ownership of a Polish subsidiary, J&S Energy, engaged in the import, distribution and marketing of oil products. Summary of the dispute Claims arising out of the Government's implementation of a European Union Directive calling for an increase in the mandatory fuel reserves held by firms and its alleged negative impact upon Mercuria's Polish subsidiary J&S Energy engaged in the importation of fuel.","Economic sector | Primary: B - Mining and quarrying | Tertiary: G - Wholesale and retail trade; repair of motor vehicles and motorcycles | Economic subsector | 6 - Extraction of crude petroleum and natural gas | 46 - Wholesale trade, except of motor vehicles and motorcycles",SCC (Stockholm Chamber of Commerce),SCC (Stockholm Chamber of Commerce),Decided in favour of State,Decision on Jurisdiction dated 17 December 2009 Final Award dated 22 December 2011,400.00 mln USD,Data not available,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claims",None - all claims dismissed at the merits stage,Type of follow-on proceedings None,success
323,Achmea v. Slovakia (I),Achmea v. Slovakia (I),2008.0,http://italaw.com/cases/417,Netherlands - Slovakia BIT (1991),Slovakia,Netherlands,Details of investment Ownership of company that had obtained a share of around 8.5 per cent in the Slovak health insurance market (wholly owned subsidiary). Summary of the dispute Claims arising out of various legislative measures introduced by Slovakia that allegedly constituted a systematic reversal of the previous liberalisation of the Slovak health insurance market that had prompted the claimant to invest in the Slovak Republic’s health insurance sector.,"Economic sector | Tertiary: K - Financial and insurance activities | Economic subsector | 65 - Insurance, reinsurance and pension funding, except compulsory social security",UNCITRAL,PCA (Permanent Court of Arbitration),Decided in favour of investor,"Award on Jurisdiction, Arbitrability and Suspension dated 26 October 2010 Final Award dated 7 December 2012",65.00 mln EUR (84.70 mln USD),22.00 mln EUR (28.80 mln USD),"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similarTransfer of fundsArbitrary, unreasonable and/or discriminatory measures","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsTransfer of funds",Type of follow-on proceedings Judicial review by national courts Judicial review by national courts Judicial review by national courts Judicial review by national courts Status Award/decision upheld Decisions Judgment of the Higher Regional Court of Frankfurt dated 10 May 2012 Preliminary Decision of the German Federal Supreme Court dated 19 September 2013 Judicial review by national courts Status Award/decision upheld Decisions Judgment of the Higher Regional Court of Frankfurt dated 18 December 2014 Judicial review by national courts Status Award/decision set aside in its entirety Decisions Decision of the Federal Court of Justice dated 3 March 2016 Judgment of the Grand Chamber of the European Court of Justice dated 6 March 2018 Decision of the German Federal Supreme Court dated 31 October 2018,success
324,Murphy v. Ecuador (I),Murphy v. Ecuador (I),2008.0,http://www.italaw.com/cases/723,Ecuador - United States BIT (1993),Ecuador,United States of America,"Details of investment Minority shareholding in local operating company that had concluded a service contract with Ecuador for the exploration and exploitation of hydrocarbons. Summary of the dispute Claims arising out of Ecuador's enactment of Law No. 42 imposing a 99 per cent windfall levy on foreign oil revenues that allegedly resulted in the expropriation of Murphy's investment in Block 16 of the Ecuadorian Amazon, an oil-rich region bordering Peru and Brazil.",Economic sector | Primary: B - Mining and quarrying | Economic subsector | 6 - Extraction of crude petroleum and natural gas,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Decided in favour of State,Award on Jurisdiction dated 15 December 2010 Partial Dissenting Opinion of Mr. Horacio A. Grigera Naón (Award on Jurisdiction),Data not available,Data not available,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similarUmbrella clauseArbitrary, unreasonable and/or discriminatory measures",None - jurisdiction declined,Type of follow-on proceedings None,success
325,Al-Bahloul v. Tajikistan,Al-Bahloul v. Tajikistan,2008.0,http://www.italaw.com/cases/65,The Energy Charter Treaty (1994),Tajikistan,Austria,"Details of investment Rights under four hydrocarbon exploration agreements concluded between Mr. Al-Bahloul and Tajikistan. Summary of the dispute Claims arising out of the Government's alleged failure to ensure the issuance of licenses pursuant to several hydrocarbon exploration agreements concluded between Mr. Al-Bahloul and Tajikistan's State Committee for Oil and Gas for four areas (Rengan, Sargazon, Yalgyzkak and East Soupetau) in Tajikistan.",Economic sector | Primary: B - Mining and quarrying | Economic subsector | 6 - Extraction of crude petroleum and natural gas,SCC (Stockholm Chamber of Commerce),SCC (Stockholm Chamber of Commerce),Decided in favour of neither party (liability found but no damages awarded),Partial Award on Jurisdiction and Liability dated 2 September 2009 Final Award dated 8 June 2010,228.00 mln USDNon-pecuniary relief,0.00 mln USD,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similarUmbrella clauseNational treatmentArbitrary, unreasonable and/or discriminatory measures",Umbrella clause,Type of follow-on proceedings None,success
326,Holcim v. Venezuela,Holcim v. Venezuela,2009.0,,"Switzerland - Venezuela, Bolivarian Republic of BIT (1993) Netherlands - Venezuela, Bolivarian Republic of BIT (1991)","Venezuela, Bolivarian Republic of",NetherlandsSwitzerland,"Details of investment Ownership interests in Venezuelan cement production enterprise. Summary of the dispute Claims arising out of the Government's 2008 nationalization of foreign-owned cement companies in Venezuela, including the claimants, and the alleged cease of compensation negotiations between Holcim and the national oil company PDVSA.",Economic sector | Secondary: C - Manufacturing | Economic subsector | 23 - Manufacture of other non-metallic mineral products,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Settled,,Data not availableAwarded through settlement650.00 mln USD,,Direct expropriation,Not applicable - settled or discontinued before decision on liability,Type of follow-on proceedings None,success
327,Centurion v. Canada,Centurion v. Canada,2009.0,http://www.italaw.com/cases/541,NAFTA (1992),Canada,United States of America,"Details of investment Ownership of a Canadian corporation that had contracted for the purchase of 9.5 acres in Vancouver to build a privately-owned health center in Canada; capital expenses related to the construction of such health centre. Summary of the dispute Claims arising out of the planned construction by the claimants of a private healthcare facility intended to offer a wide range of surgical services in Vancouver, British Columbia, and the alleged impediment of the project's completion by a range of legislative and administrative measures adopted by the local, provincial and federal governments.",Economic sector | Tertiary: Q - Human health and social work activities | Economic subsector | 86 - Human health activities,UNCITRAL,PCA (Permanent Court of Arbitration),Discontinued,Order for the Termination of the Proceedings and Award on Costs dated 2 August 2010,160.00 mln USD,Data not available,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsNational treatmentMost-favoured nation treatmentOther",Not applicable - settled or discontinued before decision on liability,Type of follow-on proceedings None,success
328,ICRS v. Jordan,ICRS v. Jordan,2009.0,http://www.italaw.com/cases/2112,Jordan - Kuwait BIT (2001),Jordan,Kuwait,"Details of investment Rights under a light railway system agreement concluded between Jordan and the claimant. Summary of the dispute Claims arising out of the alleged unlawful termination by the Government of an implementation agreement concluded between Jordan and its Public Transport Regulatory Commission with the claimant to build, operate, and transfer a light railway system (the LRS Project) connecting the Jordanian cities of Amman and Zarqa.",Economic sector | Tertiary: F - Construction | Economic subsector | 42 - Civil engineering,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Discontinued,Order taking note of the discontinuance issued by the Tribunal on 22 February 2011 dated 22 February 2011,1000.00 mln USD,Data not available,Unclear,Not applicable - settled or discontinued before decision on liability,Type of follow-on proceedings None,success
329,Vattenfall v. Germany (I),Vattenfall v. Germany (I),2009.0,http://www.italaw.com/cases/1148,The Energy Charter Treaty (1994),Germany,Sweden,Details of investment Rights under an agreement concluded between the Vattenfall Group and the Hamburg Government for the construction of a coal-fired power plant known as the Moorburg powerplant. Summary of the dispute Claims arising out of the conduct of the Hamburg government authorities relating to the administrative procedure for the issuing of permits for a new power plant being constructed by Vattenfall Generation at the site of a former plant located at Hamburg-Moorburg.,"Economic sector | Tertiary: D - Electricity, gas, steam and air conditioning supply | Economic subsector | 35 - Electricity, gas, steam and air conditioning supply",ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Settled,Award embodying the parties' settlement agreement dated 11 March 2011,1400.00 mln USDAwarded through settlementData not available,,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similarArbitrary, unreasonable and/or discriminatory measures",Not applicable - settled or discontinued before decision on liability,Type of follow-on proceedings None,success
330,Reinhard Unglaube v. Costa Rica,Reinhard Unglaube v. Costa Rica,2009.0,http://www.italaw.com/cases/1136,Costa Rica - Germany BIT (1994),Costa Rica,Germany,"Details of investment Acquisition of land for the development of a tourism project in Costa Rica; particularly, ownership of certain properties on the Playa Grande peninsula. Summary of the dispute Claims arising out of Mr. Unglaube's alleged investment in the ecotourism industry in Costa Rica through the acquisition of land for the development of a tourism project and its subsequent alleged expropriation by the Costa Rican Government.",Economic sector | Tertiary: L - Real estate activities | Economic subsector | 68 - Real estate activities,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Decided in favour of State,Award dated 16 May 2012,4.40 mln USD,Data not available,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsUmbrella clauseArbitrary, unreasonable and/or discriminatory measures",None - all claims dismissed at the merits stage,Type of follow-on proceedings None,success
331,GEM v. Kazakhstan,GEM v. Kazakhstan,2009.0,,Kazakhstan - Switzerland BIT (1994),Kazakhstan,Switzerland,"Details of investment Shareholding in the Kazakh entity BTA Bank. Summary of the dispute Claims arising out of the Government's alleged forced nationalization of claimant's interest in BTA Bank, by means of Kazakhstan's acquisition of around 75 per cent of the shares of BTA through the National Welfare Fund Samruk-Kazyna.","Economic sector | Tertiary: K - Financial and insurance activities | Economic subsector | 64 - Financial service activities, except insurance and pension funding",UNCITRAL,Data not available,Data not available,Data not available,1500.00 mln USD,Data not available,Data not available,Data not available,Type of follow-on proceedings None,success
332,Globalnet v. Ecuador,Globalnet v. Ecuador,2009.0,https://www.italaw.com/cases/5598,"Bolivia, Plurinational State of - Ecuador BIT (1995)",Ecuador,"Bolivia, Plurinational State of","Details of investment Rights under a concession agreement for telecommunication services in Ecuador concluded with the National Secretary of Telecommunications and the National Modernization Council (CONAM). Summary of the dispute Claims arising out of the Government's unilateral termination of a contract concluded with the investor to provide fixed and mobile telephony and Internet to 1,120 rural and marginal urban municipalities of Ecuador that did not have such services at that time, due to the investor's alleged gross negligence in the performance of its contractual duties.",Economic sector | Tertiary: J - Information and communication | Economic subsector | 61 - Telecommunications,UNCITRAL,Data not available,Settled,Order of discontinuance of the arbitral proceeding dated 7 August 2013 (Spanish),32.50 mln USDAwarded through settlementData not available,,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similarNational treatment",Not applicable - settled or discontinued before decision on liability,Type of follow-on proceedings None,success
333,Gold Reserve v. Venezuela (I),Gold Reserve v. Venezuela (I),2009.0,http://www.italaw.com/cases/2727,"Canada - Venezuela, Bolivarian Republic of BIT (1996)","Venezuela, Bolivarian Republic of",Canada,"Details of investment Mining rights held indirectly by claimant in Venezuela under the mining concessions known as the “Brisas Concession” and the “Unicornio Concession” for the extraction of gold, copper and molybdenum. Summary of the dispute Claims arising out of the Government's alleged deprivation of claimant's rights in certain gold and copper project in Venezuela, following the issuance of an administrative ruling by the Ministry of the Environment declaring the nullity of certain construction permit and the subsequent termination of claimant's mining concessions.",Economic sector | Primary: B - Mining and quarrying | Economic subsector | 7 - Mining of metal ores,ICSID AF (ICSID Additional Facility),ICSID (International Centre for Settlement of Investment Disputes),Decided in favour of investor,Award dated 22 September 2014,1735.00 mln USD,713.00 mln USD,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similarMost-favoured nation treatment","Fair and equitable treatment/Minimum standard of treatment, including denial of justice claims",Type of follow-on proceedings Judicial review by national courts Judicial review by national courts Status Award/decision upheld Decisions Decision of the Paris Court of Appeal dated 7 February 2017,success
334,H&H v. Egypt,H&H v. Egypt,2009.0,http://www.italaw.com/cases/1460,Egypt - United States BIT (1986),Egypt,United States of America,"Details of investment Rights under a hotel management and operation contract concluded between the claimant and Grand Hotels of Egypt (GHE), a company owned by the Egyptian Government; option to buy in the form of a one-page letter addressed to the then chairman of GHE. Summary of the dispute Claims arising out of disagreements between the parties concerning a contract to manage and operate a resort in El Ain El Sokhna including the denial of claimant's alleged right to purchase the resort under an option to buy agreement leading to litigation before domestic courts and the Government's subsequent eviction of H&H from the resort.",Economic sector | Tertiary: I - Accommodation and food service activities | Economic subsector | 55 - Accommodation,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Decided in favour of State,The Tribunal’s Decision on Respondent’s Objections to Jurisdiction dated 5 June 2012 Award dated 6 May 2014,833.00 mln USD,Data not available,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similarUmbrella clause",None - all claims dismissed at the merits stage,"Type of follow-on proceedings ICSID annulment proceedings ICSID annulment proceedings Status Discontinued Decisions None ICSID Annulment Committee Alexandrov, S. A. (President) Abraham, C. W. M. (Member) Cheng, T. (Member)",success
335,Teinver and others v. Argentina,Teinver and others v. Argentina,2009.0,http://www.italaw.com/cases/1648,Argentina - Spain BIT (1991),Argentina,Spain,"Details of investment Indirect shareholding in two Argentinean airlines. Summary of the dispute Claims arising out of the Government's alleged re-nationalization and taking of other measures regarding claimants' investments in two Argentine airlines, Aerolíneas Argentinas S.A. and Austral-Cielos del Sur S.A., and subsequent disagreements between the parties as to the remedy due to claimants for the expropriation of their shares in those airlines.",Economic sector | Tertiary: H - Transportation and storage | Economic subsector | 51 - Air transport,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Decided in favour of investor,Decision on Jurisdiction dated 21 December 2012 Separate Opinion of Dr. Kamal Hossain (Decision on Jurisdiction) Award dated 21 July 2017 Dissenting Opinion of Kamal Hossain,1590.00 mln USD,320.80 mln USD,"Direct expropriationIndirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similarUmbrella clauseArbitrary, unreasonable and/or discriminatory measures","Direct expropriationIndirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsArbitrary, unreasonable and/or discriminatory measures","Type of follow-on proceedings ICSID annulment proceedings ICSID annulment proceedings Status Award/decision upheld Decisions Decision on Annulment dated 29 May 2019 ICSID Annulment Committee Mourre, A. (President) Cantuarias Salaverry, F. (Member) Ramírez Hernández, R. (Member)",success
336,Mærsk v. Algeria,Mærsk v. Algeria,2009.0,,Algeria - Denmark BIT (1999),Algeria,Denmark,"Details of investment Wholly-owned subsidiary of the oil production A.P. Moller - Maersk Group holding rights in several Algerian blocks under certain production sharing contract concluded with Algeria's national oil company for the exploration and production of liquid hydrocarbons. Summary of the dispute Claims arising out of the Government's imposition of a windfall tax collected by the Algerian national oil company, Sonatrach S.P.A., which allegedly contravened the terms of a production sharing contract previously concluded between the investor and Sonatrach.",Economic sector | Primary: B - Mining and quarrying | Economic subsector | 6 - Extraction of crude petroleum and natural gas,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Settled,"Order taking note of the discontinuance of the proceeding issued by the Tribunal dated 30 September 2013, pursuant to ICSID Arbitration Rule 43(1)",3000.00 mln USDAwarded through settlement920.00 mln USD,,Data not available,Not applicable - settled or discontinued before decision on liability,Type of follow-on proceedings None,success
337,Deutsche Bank v. Sri Lanka,Deutsche Bank v. Sri Lanka,2009.0,http://www.italaw.com/cases/1745,Germany - Sri Lanka BIT (2000),Sri Lanka,Germany,"Details of investment Rights under an oil hedging agreement concluded between Deutsche Bank and Sri Lanka’s national petroleum corporation. Summary of the dispute Claims arising out of Deutsche Bank's termination of an oil hedging agreement concluded with Ceylon Petroleum Corporation, Sri Lanka’s national petroleum company, and close-out amounts payable under such contract.","Economic sector | Tertiary: K - Financial and insurance activities | Economic subsector | 64 - Financial service activities, except insurance and pension funding",ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Decided in favour of investor,Award dated 31 October 2012 Dissenting Opinion of Makhdoom Ali Khan (Award),60.00 mln USD,60.00 mln USD,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similarUmbrella clause","Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claims","Type of follow-on proceedings ICSID annulment proceedings ICSID annulment proceedings Status Discontinued Decisions None ICSID Annulment Committee Rigo Sureda, A. (President) Danelius, H. (Member) Kettani, A. (Member)",success
